關卡編號,年級,冊數,章節編號,章節名稱,小節編號,小節名稱,知識點,關卡名稱,level_id
1,7,第一冊,1,公民與公民德性,1,什麼是公民？,公民身份、社會責任,什麼是公民？,666
2,7,第一冊,1,公民與公民德性,2,現代公民應具備的基本德性,權利與義務、尊重他人,現代公民應具備的基本德性,667
3,7,第一冊,1,公民與公民德性,0,章節總複習,章節所有知識點,公民與公民德性 （全）-1,668
4,7,第一冊,1,公民與公民德性,0,章節總複習,章節所有知識點,公民與公民德性 （全）-2,669
5,7,第一冊,2,人性尊嚴與人權保障,1,人性尊嚴與人權,人性尊嚴、普遍性,人性尊嚴與人權,670
6,7,第一冊,2,人性尊嚴與人權保障,2,人權保障的落實,普世價值、法律保障,人權保障的落實,671
7,7,第一冊,2,人性尊嚴與人權保障,0,章節總複習,章節所有知識點,人性尊嚴與人權保障 （全）-1,672
8,7,第一冊,2,人性尊嚴與人權保障,0,章節總複習,章節所有知識點,人性尊嚴與人權保障 （全）-2,673
9,7,第一冊,3,家庭生活,1,家庭中的親屬關係,親屬關係類型、家庭角色分工,家庭中的親屬關係,674
10,7,第一冊,3,家庭生活,2,家庭型態與生活模式,家庭結構差異、多元家庭類型,家庭型態與生活模式,675
11,7,第一冊,3,家庭生活,3,家庭成員的權利與義務,權利與義務的平衡、與家庭成員的互動,家庭成員的權利與義務,676
12,7,第一冊,3,家庭生活,0,章節總複習,章節所有知識點,家庭生活 （全）-1,677
13,7,第一冊,3,家庭生活,0,章節總複習,章節所有知識點,家庭生活 （全）-2,678
14,7,第一冊,4,變遷中的家庭,1,家庭的功能與轉變,家庭結構變遷、功能轉變,家庭的功能與轉變,679
15,7,第一冊,4,變遷中的家庭,2,政府如何協助家庭發揮功能？,政府社會福利政策、家庭功能支持,政府如何協助家庭發揮功能？,680
16,7,第一冊,4,變遷中的家庭,0,章節總複習,章節所有知識點,變遷中的家庭 （全）-1,681
17,7,第一冊,4,變遷中的家庭,0,章節總複習,章節所有知識點,變遷中的家庭 （全）-2,682
18,7,第一冊,5,學生權利與校園生活,1,校園中的權利與維護,受教育權、隱私權,校園中的權利與維護,683
19,7,第一冊,5,學生權利與校園生活,2,如何參與校園公共事務？,參與機會、民主意識,如何參與校園公共事務？,684
20,7,第一冊,5,學生權利與校園生活,0,章節總複習,章節所有知識點,學生權利與校園生活 （全）-1,685
21,7,第一冊,5,學生權利與校園生活,0,章節總複習,章節所有知識點,學生權利與校園生活 （全）-2,686
22,7,第一冊,6,部落與公民參與,1,部落的意義與重要性,部落文化、多樣性,部落的意義與重要性,687
23,7,第一冊,6,部落與公民參與,2,部落的挑戰與公民參與,部落自治、資源管理,部落的挑戰與公民參與,688
24,7,第一冊,6,部落與公民參與,0,章節總複習,章節所有知識點,部落與公民參與 （全）-1,689
25,7,第一冊,6,部落與公民參與,0,章節總複習,章節所有知識點,部落與公民參與 （全）-2,690
26,7,第二冊,1,多元文化,1,文化的特性與差異,文化多樣性、文化交流,文化的特性與差異,691
27,7,第二冊,1,多元文化,2,文化位階與不平等,文化位階、文化不平等,文化位階與不平等,692
28,7,第二冊,1,多元文化,3,尊重和包容文化差異,文化差異、文化包容,尊重和包容文化差異,693
29,7,第二冊,1,多元文化,0,章節總複習,章節所有知識點,多元文化 （全）-1,694
30,7,第二冊,1,多元文化,0,章節總複習,章節所有知識點,多元文化 （全）-2,695
31,7,第二冊,2,社會規範,1,為什麼會有社會規範？,社會規範的來源、社會規範的功能,為什麼會有社會規範？,696
32,7,第二冊,2,社會規範,2,社會規範的內涵,社會規範的種類、社會規範的功能,社會規範的內涵,697
33,7,第二冊,2,社會規範,0,章節總複習,章節所有知識點,社會規範 （全）-1,698
34,7,第二冊,2,社會規範,0,章節總複習,章節所有知識點,社會規範 （全）-2,699
35,7,第二冊,3,團體與志願結社,1,為什麼要參與團體？,歸屬感、社會責任,為什麼要參與團體？,700
36,7,第二冊,3,團體與志願結社,2,志願結社的特徵及影響,志願結社的自主性、社會影響力,志願結社的特徵及影響,701
37,7,第二冊,3,團體與志願結社,0,章節總複習,章節所有知識點,團體與志願結社 （全）-1,702
38,7,第二冊,3,團體與志願結社,0,章節總複習,章節所有知識點,團體與志願結社 （全）-2,703
39,7,第二冊,4,公共意見,1,公共意見與其特性,多元性、流動性,公共意見與其特性,704
40,7,第二冊,4,公共意見,2,媒體與公共意見,媒體的影響、公共輿論,媒體與公共意見,705
41,7,第二冊,4,公共意見,0,章節總複習,章節所有知識點,公共意見 （全）-1,706
42,7,第二冊,4,公共意見,0,章節總複習,章節所有知識點,公共意見 （全）-2,707
43,7,第二冊,5,公平正義,1,社會地位與不公平處境,社會階層流動、差異化待遇,社會地位與不公平處境,708
44,7,第二冊,5,公平正義,2,社會中的不公平現象,社會不公平、制度不公,社會中的不公平現象,709
45,7,第二冊,5,公平正義,3,追求公平正義,社會契約、權利義務,追求公平正義,710
46,7,第二冊,5,公平正義,0,章節總複習,章節所有知識點,公平正義 （全）-1,711
47,7,第二冊,5,公平正義,0,章節總複習,章節所有知識點,公平正義 （全）-2,712
48,7,第二冊,6,社會安全與國家責任,1,人性尊嚴與社會安全,人性尊嚴、社會安全,人性尊嚴與社會安全,713
49,7,第二冊,6,社會安全與國家責任,2,社會安全的起源與發展,社會安全制度、國家責任,社會安全的起源與發展,714
50,7,第二冊,6,社會安全與國家責任,3,我國的社會福利制度,社會福利制度、國家角色,我國的社會福利制度,715
51,7,第二冊,6,社會安全與國家責任,0,章節總複習,章節所有知識點,社會安全與國家責任 （全）-1,716
52,7,第二冊,6,社會安全與國家責任,0,章節總複習,章節所有知識點,社會安全與國家責任 （全）-2,717
53,8,第三冊,1,國家與民主治理,1,什麼是國家？國家與政府的差別,國家主權、政府制度,什麼是國家？國家與政府的差別,718
54,8,第三冊,1,國家與民主治理,2,民主治理所具備的特色,人民參與、權力分立,民主治理所具備的特色,719
55,8,第三冊,1,國家與民主治理,0,章節總複習,章節所有知識點,國家與民主治理 （全）-1,720
56,8,第三冊,1,國家與民主治理,0,章節總複習,章節所有知識點,國家與民主治理 （全）-2,721
57,8,第三冊,2,法治社會,1,人治與法治,人治、法治,人治與法治,722
58,8,第三冊,2,法治社會,2,法律的位置,法律的層次、法律的運作,法律的位置,723
59,8,第三冊,2,法治社會,0,章節總複習,章節所有知識點,法治社會 （全）-1,724
60,8,第三冊,2,法治社會,0,章節總複習,章節所有知識點,法治社會 （全）-2,725
61,8,第三冊,3,權利保障與權力分立,1,憲法為何是人民權利的保障書？,基本權利、憲法的保障,憲法為何是人民權利的保障書？,726
62,8,第三冊,3,權利保障與權力分立,2,為什麼政府的體制需要權力分立？,權力分立原則、政府體制,為什麼政府的體制需要權力分立？,727
63,8,第三冊,3,權利保障與權力分立,0,章節總複習,章節所有知識點,權利保障與權力分立 （全）-1,728
64,8,第三冊,3,權利保障與權力分立,0,章節總複習,章節所有知識點,權利保障與權力分立 （全）-2,729
65,8,第三冊,4,中央政府,1,中央政府的組成,行政院、立法院,中央政府的組成,730
66,8,第三冊,4,中央政府,2,我國中央政府的互動關係,權力分立、中央政府互動關係,我國中央政府的互動關係,731
67,8,第三冊,4,中央政府,0,章節總複習,章節所有知識點,中央政府 （全）-1,732
68,8,第三冊,4,中央政府,0,章節總複習,章節所有知識點,中央政府 （全）-2,733
69,8,第三冊,5,地方政府,1,地方政府的組成,地方政府組織、權力分配,地方政府的組成,734
70,8,第三冊,5,地方政府,2,地方政府的職權,地方政府的組織結構、地方政府的職能,地方政府的職權,735
71,8,第三冊,5,地方政府,0,章節總複習,章節所有知識點,地方政府 （全）-1,736
72,8,第三冊,5,地方政府,0,章節總複習,章節所有知識點,地方政府 （全）-2,737
73,8,第三冊,6,政治參與,1,為什麼要政治參與？,公民責任、民主運作,為什麼要政治參與？,738
74,8,第三冊,6,政治參與,2,為什麼投票是重要的參與形式？,投票權、公民責任,為什麼投票是重要的參與形式？,739
75,8,第三冊,6,政治參與,3,如何落實公平投票？,投票制度、選舉公平,如何落實公平投票？,740
76,8,第三冊,6,政治參與,0,章節總複習,章節所有知識點,政治參與 （全）-1,741
77,8,第三冊,6,政治參與,0,章節總複習,章節所有知識點,政治參與 （全）-2,742
78,8,第四冊,1,生活中的契约,1,民法典契约,合同的基本概念、合同的履行,民法典契约,743
79,8,第四冊,1,生活中的契约,2,如何訂立有效契約？,契約的要約與承諾、契約的法律效力,如何訂立有效契約？,744
80,8,第四冊,1,生活中的契约,3,行為能力與契約效力,行為能力、契約效力,行為能力與契約效力,745
81,8,第四冊,1,生活中的契约,0,章節總複習,章節所有知識點,生活中的契约 （全）-1,746
82,8,第四冊,1,生活中的契约,0,章節總複習,章節所有知識點,生活中的契约 （全）-2,747
83,8,第四冊,2,民事糾紛的解決,1,民事糾紛的法律責任,法律責任的類型、歸責原則,民事糾紛的法律責任,748
84,8,第四冊,2,民事糾紛的解決,2,民事糾紛的處理方式,訴訟、調解,民事糾紛的處理方式,749
85,8,第四冊,2,民事糾紛的解決,0,章節總複習,章節所有知識點,民事糾紛的解決 （全）-1,750
86,8,第四冊,2,民事糾紛的解決,0,章節總複習,章節所有知識點,民事糾紛的解決 （全）-2,751
87,8,第四冊,3,刑法與刑罰,1,為什麼要制定刑法？,犯罪預防、社會秩序,為什麼要制定刑法？,752
88,8,第四冊,3,刑法與刑罰,2,刑罰與責任能力,刑罰的目的、責任能力的概念,刑罰與責任能力,753
89,8,第四冊,3,刑法與刑罰,0,章節總複習,章節所有知識點,刑法與刑罰 （全）-1,754
90,8,第四冊,3,刑法與刑罰,0,章節總複習,章節所有知識點,刑法與刑罰 （全）-2,755
91,8,第四冊,4,刑事案件的追訴,1,犯罪的追訴過程,犯罪偵查、檢察審查,犯罪的追訴過程,756
92,8,第四冊,4,刑事案件的追訴,2,警察、檢察官及法官的職權,案件調查、法律審判,警察、檢察官及法官的職權,757
93,8,第四冊,4,刑事案件的追訴,0,章節總複習,章節所有知識點,刑事案件的追訴 （全）-1,758
94,8,第四冊,4,刑事案件的追訴,0,章節總複習,章節所有知識點,刑事案件的追訴 （全）-2,759
95,8,第四冊,5,行政法規與行政救濟,1,行政法規與依法行政,依法行政、法律保留,行政法規與依法行政,760
96,8,第四冊,5,行政法規與行政救濟,2,生活中有哪些常見的行政管理？,行政行為、行政程序,生活中有哪些常見的行政管理？,761
97,8,第四冊,5,行政法規與行政救濟,3,行政救濟的方法,訴願制度、行政訴訟制度,行政救濟的方法,762
98,8,第四冊,5,行政法規與行政救濟,0,章節總複習,章節所有知識點,行政法規與行政救濟 （全）-1,763
99,8,第四冊,5,行政法規與行政救濟,0,章節總複習,章節所有知識點,行政法規與行政救濟 （全）-2,764
100,8,第四冊,6,兒少權益的維護,1,兒少權益誰來維護？,兒少福利發展法、兒童權利公約,兒少權益誰來維護？,765
101,8,第四冊,6,兒少權益的維護,2,少年犯罪行為的處理,少年犯矯正機構、再犯預防措施,少年犯罪行為的處理,766
102,8,第四冊,6,兒少權益的維護,0,章節總複習,章節所有知識點,兒少權益的維護 （全）-1,767
103,8,第四冊,6,兒少權益的維護,0,章節總複習,章節所有知識點,兒少權益的維護 （全）-2,768
104,9,第五冊,1,選擇與消費,1,選擇與機會成本,選擇、機會成本,選擇與機會成本,769
105,9,第五冊,1,選擇與消費,2,誘因影響選擇行為,誘因的重要性、消費選擇的影響,誘因影響選擇行為,770
106,9,第五冊,1,選擇與消費,3,影響消費者的因素,文化和價值觀、社會經濟地位,影響消費者的因素,771
107,9,第五冊,1,選擇與消費,0,章節總複習,章節所有知識點,選擇與消費 （全）-1,772
108,9,第五冊,1,選擇與消費,0,章節總複習,章節所有知識點,選擇與消費 （全）-2,773
109,9,第五冊,2,生產與資源分配,1,生產與利潤,生產因素、利潤最大化,生產與利潤,774
110,9,第五冊,2,生產與資源分配,2,影響生產者的因素,資源稟賦、生產成本,影響生產者的因素,775
111,9,第五冊,2,生產與資源分配,3,資源分配與公平正義,資源分配、公平正義,資源分配與公平正義,776
112,9,第五冊,2,生產與資源分配,0,章節總複習,章節所有知識點,生產與資源分配 （全）-1,777
113,9,第五冊,2,生產與資源分配,0,章節總複習,章節所有知識點,生產與資源分配 （全）-2,778
114,9,第五冊,3,市場與競爭,1,市場與交易,供給與需求理論、市場均衡,市場與交易,779
115,9,第五冊,3,市場與競爭,2,市場競爭方式與程度,供需法則、完全競爭市場,市場競爭方式與程度,780
116,9,第五冊,3,市場與競爭,3,消費者權益的保障,消費者權益、保障措施,消費者權益的保障,781
117,9,第五冊,3,市場與競爭,0,章節總複習,章節所有知識點,市場與競爭 （全）-1,782
118,9,第五冊,3,市場與競爭,0,章節總複習,章節所有知識點,市場與競爭 （全）-2,783
119,9,第五冊,4,分工與貿易,1,分工合作的社會,分工、合作,分工合作的社會,784
120,9,第五冊,4,分工與貿易,2,國際分工與國際貿易,絕對利益法則、比較利益法則,國際分工與國際貿易,785
121,9,第五冊,4,分工與貿易,3,臺灣開放進口商品的利弊,開放進口、平衡發展,臺灣開放進口商品的利弊,786
122,9,第五冊,4,分工與貿易,0,章節總複習,章節所有知識點,分工與貿易 （全）-1,787
123,9,第五冊,4,分工與貿易,0,章節總複習,章節所有知識點,分工與貿易 （全）-2,788
124,9,第五冊,5,貨幣的使用,1,為什麼會出現貨幣？,交易的需求、價值儲藏,為什麼會出現貨幣？,789
125,9,第五冊,5,貨幣的使用,2,新型態的支付工具,電子支付、數字貨幣,新型態的支付工具,790
126,9,第五冊,5,貨幣的使用,3,外幣與匯率,匯率、外匯市場,外幣與匯率,791
127,9,第五冊,5,貨幣的使用,0,章節總複習,章節所有知識點,貨幣的使用 （全）-1,792
128,9,第五冊,5,貨幣的使用,0,章節總複習,章節所有知識點,貨幣的使用 （全）-2,793
129,9,第五冊,6,社會中的勞動參與,1,為什麼勞動參與是重要的？,勞動力市場、經濟發展,為什麼勞動參與是重要的？,794
130,9,第五冊,6,社會中的勞動參與,2,為何要保障市場勞動參與？,勞動權、勞動參與保障,為何要保障市場勞動參與？,795
131,9,第五冊,6,社會中的勞動參與,0,章節總複習,章節所有知識點,社會中的勞動參與 （全）-1,796
132,9,第五冊,6,社會中的勞動參與,0,章節總複習,章節所有知識點,社會中的勞動參與 （全）-2,797
133,9,第六冊,1,科技發展,1,科技發展的應用與影響,科技進步、社會變革,科技發展的應用與影響,798
134,9,第六冊,1,科技發展,2,尊重智慧財產權,專利權、著作權,尊重智慧財產權,799
135,9,第六冊,1,科技發展,0,章節總複習,章節所有知識點,科技發展 （全）-1,800
136,9,第六冊,1,科技發展,0,章節總複習,章節所有知識點,科技發展 （全）-2,801
137,9,第六冊,2,全球化的影響與挑戰,1,全球化的影響,跨國公司、文化交流,全球化的影響,802
138,9,第六冊,2,全球化的影響與挑戰,2,全球化面臨的挑戰,貿易壁壘、文化衝突,全球化面臨的挑戰,803
139,9,第六冊,2,全球化的影響與挑戰,0,章節總複習,章節所有知識點,全球化的影響與挑戰 （全）-1,804
140,9,第六冊,2,全球化的影響與挑戰,0,章節總複習,章節所有知識點,全球化的影響與挑戰 （全）-2,805
141,9,第六冊,3,國際參與,1,國際社會的互動,國際組織、國際合作,國際社會的互動,806
142,9,第六冊,3,國際參與,2,我國身處的國際環境,國際合作、國際組織,我國身處的國際環境,807
143,9,第六冊,3,國際參與,0,章節總複習,章節所有知識點,國際參與 （全）-1,808
144,9,第六冊,3,國際參與,0,章節總複習,章節所有知識點,國際參與 （全）-2,809
